sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,United Kingdom,1,0,235335000,0,0.0,16.3,True,71.755878,16.569842,153.2,150,26,0,False,81991,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636018102,0,0.0,12.3,False,72.917092,14.412692,155.4,153,32,0,False,33967,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431938000,0,0.0,14.5,False,69.587368,15.08476,140.8,142,29,0,False,33973,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931117,15.29621,177.6,179,32,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538005426,3,0.0,9.5,False,73.153135,13.938563,72.8,74,33,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Malta,3,0,229716000,0,-0.0,12.1,True,72.49613,13.935308,320.8,321,29,0,False,80909,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636015170,0,-1.0,10.2,False,70.900802,17.119423,82.7,85,34,0,False,155672,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,354252000,0,0.0,12.7,False,72.010555,14.790342,331.2,332,33,0,False,66788,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538009790,0,0.0,10.9,True,72.1344,15.189683,326.0,328,32,0,False,2238,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931118,15.296182,178.6,179,33,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563286100,0,0.0,0.5,False,68.585493,21.49901,205.1,260,34,0,False,34037,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538007463,0,0.0,11.8,False,71.832425,15.600845,336.5,337,32,0,False,34040,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477242800,0,0.0,13.7,True,67.033613,16.078023,143.7,143,31,0,False,34048,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477174600,0,0.0,10.2,True,70.552052,19.335838,298.6,300,30,0,False,2240,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636019669,0,0.0,11.8,True,69.523545,14.936675,135.2,135,32,0,False,49510,,,,,,,,,,,,,,,,,
AIVDM,Panama,3,0,351604000,0,0.0,11.4,True,71.554848,14.923367,129.9,132,31,0,False,78541,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931118,15.296155,178.5,179,34,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Palau,1,0,511101414,0,4.0,11.8,False,73.325627,15.410083,328.0,328,32,0,False,165146,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563361000,0,0.0,17.7,False,72.000065,15.988907,147.9,148,55,0,False,34097,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931118,15.296127,177.2,179,35,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Iran,1,0,422037100,0,0.0,10.1,False,74.123878,12.168003,330.8,330,34,0,False,66869,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538006490,0,0.0,10.9,False,72.422273,15.080332,165.6,156,0,0,False,34120,,,,,,,,,,,,,,,,,
AIVDM,Singapore,3,0,563200800,1,0.0,0.1,True,73.68792,15.429707,113.2,190,36,0,False,84938,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636015484,0,0.0,12.5,True,71.047457,15.133707,123.7,123,34,0,False,66901,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.93112,15.296098,177.9,179,36,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,353058000,0,0.0,9.8,False,71.548033,15.007217,317.4,315,36,0,False,49243,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563180800,0,-0.0,15.7,False,69.852008,19.451933,298.5,299,35,0,False,82227,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538008997,0,0.0,11.6,False,73.071785,15.136522,346.9,347,34,0,False,34151,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431126000,0,0.0,12.0,False,69.961883,18.650025,157.9,156,37,0,False,2232,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,3,0,477174300,0,0.0,11.9,False,66.037163,17.10004,138.7,136,38,0,False,22947,,,,,,,,,,,,,,,,,
AIVDM,United Kingdom,1,0,235335000,0,0.0,16.3,True,71.756093,16.56944,153.1,150,32,0,False,2266,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.5,True,72.931123,15.296068,173.9,179,37,0,True,0,,,,,,,,,,,,,,,,,
